t,send_ms,read_ms,max_err_deg
304605.170594333,1.4680420281365514,1.2064159964211285,15.0
304605.488693458,1.2109579984098673,1.2049999786540866,15.0
304605.523050333,1.1339999618940055,1.1999999987892807,15.0
304605.556512375,1.2034999672323465,1.2681250227615237,14.604743083003951
304605.590853875,1.177790982183069,1.2444170424714684,13.41897233201581
304605.625197041,1.2257499620318413,1.2623330112546682,12.430830039525693
304605.6588445,1.2018749839626253,1.2904160539619625,12.299077733860342
304605.693024625,1.2802500277757645,1.2368750176392496,12.299077733860342
304605.7273705,1.4117080136202276,1.2545830104500055,15.912087912087912
304605.761719166,1.4435839839279652,1.3069999986328185,18.637362637362628
304605.796082416,1.9409169908612967,1.2329579913057387,20.39560439560438
304605.830161875,1.3332910020835698,1.2267500278539956,21.45054945054943
304605.864508291,1.325041987001896,1.2607499957084656,22.241758241758248
304605.898862958,1.3315409887582064,1.2794170179404318,22.769230769230774
304605.933212666,1.4791660360060632,1.2510839733295143,23.20879120879121
304605.967558958,1.3650829787366092,1.284250000026077,23.384615384615387
304606.001914625,1.4378330088220537,1.2296250206418335,23.560439560439562
304606.036259958,1.4240419841371477,1.213708019349724,23.560439560439562
304606.070615708,1.4648339711129665,1.2815410154871643,23.560439560439562
304606.104276875,1.7854580073617399,1.2691669980995357,23.560439560439562
304606.138630458,1.808042055927217,1.2327079894021153,23.560439560439562
304606.172078583,2.532250015065074,1.2634579907171428,23.560439560439562
304606.20602125,1.783750019967556,1.244082988705486,23.560439560439562
304606.24038025,1.4331669663079083,1.2909580254927278,23.560439560439562
304606.273945083,1.5735839842818677,1.2481249868869781,23.560439560439562
304606.308292375,1.3567919959314167,1.240750018041581,23.560439560439562
304606.342654041,1.7617499688640237,1.2514999834820628,23.560439560439562
304606.376589125,2.0179999992251396,1.2392500066198409,23.560439560439562
304606.410334833,2.414375019725412,1.2523329933173954,23.560439560439562
304606.443984041,1.552750007249415,1.2700410443358123,23.560439560439562
304606.479031916,1.3635409995913506,1.0972919990308583,23.560439560439562
304606.513153625,1.3686249731108546,1.2257500202395022,23.560439560439562
304606.547511875,1.6444590291939676,1.2372909695841372,23.560439560439562
304606.581867791,1.682042027823627,1.2352910125628114,23.560439560439562
304606.616230958,1.6952499863691628,1.2575419968925416,23.560439560439562
304606.650596833,1.9250829936936498,1.2605420197360218,23.560439560439562
304606.684826625,1.95854197954759,1.2724580010399222,23.560439560439562
304606.719173291,1.2279170332476497,1.2256669579073787,23.560439560439562
304606.753540916,1.3930000131949782,1.2317500077188015,23.560439560439562
304606.787599875,1.9826250500045717,1.2418749975040555,23.560439560439562
304606.821963833,1.8910840153694153,1.243665989022702,23.560439560439562
304606.85580725,1.8989169620908797,1.2413330259732902,23.560439560439562
304606.890166791,1.9605840207077563,1.305999991018325,23.560439560439562
304606.924530125,1.840875018388033,1.23999995412305,23.560439560439562
304606.958890333,1.8594999564811587,1.259000040590763,23.560439560439562
304606.992702458,1.7839579959399998,1.2767079751938581,23.560439560439562
304607.027068916,1.561167009640485,1.2486249906942248,23.560439560439562
304607.061424958,1.4552079956047237,1.2395830126479268,23.560439560439562
304607.096213208,2.001292014028877,1.2777079828083515,23.560439560439562
304607.129636791,1.4860419905744493,1.2402079883031547,23.560439560439562
304607.163984791,1.3717080000787973,1.234958996064961,23.560439560439562
304607.198336083,1.4830000000074506,1.2231659493409097,23.560439560439562
304607.232686541,1.5559580060653389,1.232457987498492,23.560439560439562
304607.267032916,1.4664159971289337,1.241791993379593,23.560439560439562
304607.301387791,1.6433749697171152,1.2948749936185777,23.560439560439562
304607.335745041,1.5628330293111503,1.2919589644297957,23.560439560439562
304607.370110375,2.762500022072345,1.1061669792979956,23.560439560439562
304607.404443333,1.9145420519635081,1.2887909542769194,23.560439560439562
304607.438789291,3.5220410209149122,1.235709001775831,23.560439560439562
304607.47223525,2.5000410387292504,1.3917919714003801,23.560439560439562
304607.5066035,1.2527910294011235,1.2423339649103582,23.560439560439562
304607.54095475,1.2732920004054904,1.2492079986259341,23.560439560439562
304607.57529975,1.2866670149378479,1.2404160224832594,23.560439560439562
304607.608753083,1.2503340258263052,1.2232500012032688,23.560439560439562
304607.64310125,1.2873329687863588,1.2399170082062483,23.560439560439562
304607.677444708,1.2524169869720936,1.222417049575597,23.560439560439562
304607.711802708,1.2668330455198884,1.2732089962810278,23.560439560439562
304607.746157041,1.256333023775369,1.216208969708532,23.560439560439562
304607.780147458,1.3443749630823731,1.259625016245991,23.560439560439562
304607.81449625,1.2488749925978482,1.2059169821441174,23.560439560439562
304607.848837166,1.1737080058082938,1.2552079861052334,23.560439560439562
304607.883189,2.1407920285128057,1.2153330026194453,23.560439560439562
304607.916575291,1.4055839856155217,1.207958033774048,23.560439560439562
304607.950948541,1.6756249824538827,1.4002500101923943,23.560439560439562
304607.985293583,1.2436669785529375,1.2632079888135195,23.560439560439562
304608.019641208,1.2251249863766134,1.2417910038493574,23.560439560439562
304608.053351833,1.2381669948808849,1.2372079654596746,23.560439560439562
304608.086750833,1.1822919477708638,1.2000420247204602,23.560439560439562
304608.120920833,1.5775419888086617,1.1162920272909105,23.560439560439562
304608.155270458,1.55858404468745,1.2743329862132668,23.560439560439562
304608.189504291,1.4525840524584055,1.2281249510124326,23.560439560439562
304608.2238715,1.600540999788791,1.2397499522194266,23.560439560439562
304608.257931541,1.2062910245731473,1.2048749485984445,23.560439560439562
304608.29203125,1.333167019765824,1.2239579809829593,23.560439560439562
304608.325425375,1.249083026777953,1.2081669992767274,23.560439560439562
304608.359768708,1.214749994687736,1.204666041303426,23.560439560439562
304608.394125916,1.39999995008111,1.211583032272756,23.560439560439562
304608.428472875,1.4215839910320938,1.2520410236902535,23.560439560439562
304608.46203175,1.2346250005066395,1.2156250304542482,23.560439560439562
304608.496377958,1.2429169728420675,1.20825000340119,23.560439560439562
304608.530721375,1.2056659907102585,1.218999968841672,23.560439560439562
304608.565066541,1.2052090023644269,1.2060829903930426,23.560439560439562
304608.598587916,1.3532500015571713,1.257832976989448,23.560439560439562
304608.632935208,1.3467500102706254,1.2685839901678264,23.560439560439562
304608.666511375,1.393917016685009,1.238207973074168,23.560439560439562
304608.700858083,1.4487910084426403,1.2766250292770565,23.560439560439562
304608.735213791,1.4901250251568854,1.2855409877374768,23.560439560439562
304608.769572666,3.974375023972243,1.2135839788243175,23.560439560439562
304608.803951458,1.3692089705727994,1.2261249939911067,23.560439560439562
304608.838298625,1.4010000159032643,1.2242919765412807,23.560439560439562
304608.872642541,1.328666985500604,1.2481249868869781,23.560439560439562
304608.90676775,1.4459170051850379,1.2612499995157123,23.560439560439562
304608.941115291,1.4396249898709357,1.285666017793119,23.560439560439562
304608.975477041,1.6771249938756227,1.2844590237364173,23.560439560439562
